gene,beta,odds_ratio,p_raw,log2fc,q_bh,replicates
FAM138A,-2.8200751365121306,0.05960146429455027,0.8954993396635901,-5.4261069560544175e-05,0.9488960342502453,False
OR4F5,-17.54748719103909,2.3945457643913047e-08,0.3079485011254136,-0.0033907984642399594,0.4819073912768021,False
RP11-34P13.7,0.6384208675890221,1.893488448225935,0.35338283947908233,0.047580958274304044,0.5273662769267122,False
RP11-34P13.14,0.6596789253428363,1.934171221333749,0.4714842375891418,0.010170569530765672,0.6345622272639819,False
RP11-34P13.9,2.4267806618323804,11.322372796776563,0.4010395659241456,0.0040345240785373965,0.5715216618651158,False
AP006222.2,0.2677953813968413,1.3070796598359462,0.12956725500902722,0.14035183356142356,0.2709563398546445,False
RP5-857K21.15,-2.981937610769895,0.05069451240808618,0.6416823610142118,-0.0008820894636332828,0.7738910244193596,False
RP4-669L17.2,-14.699304780637679,4.1321211481453115e-07,0.2683531627262744,-0.001822676677359807,0.44151578335682345,False
RP4-669L17.10,0.13637055067408996,1.1461065054580735,0.7151165848220069,0.014199950076707046,0.8295419201649349,False
RP5-857K21.4,-2.5613681016821856,0.0771990520106044,0.1046488293187551,-0.018566461674396836,0.2346036053255306,False
RP5-857K21.2,1.8106789812412112,6.114597720236906,0.42140255334910437,0.009070089171851745,0.5909314043481699,False
OR4F16,24.86937985811674,63187975449.159065,0.30718320162341806,0.0022614186500910303,0.4811201995148951,False
RP11-206L10.4,2.7349449435337623,15.408895053264798,0.4597468414985373,0.003176016074964481,0.6239406462897025,False
RP11-206L10.9,-0.3692517820030818,0.6912513438898169,0.05418757807343608,-0.18193574070541008,0.14955060420952557,False
FAM87B,0.2334046977860957,1.2628924657077076,0.49956902940216086,0.030834251250483113,0.6589269057134478,False
LINC00115,-0.06820858625203237,0.9340656200092022,0.7322177412092463,-0.027577114644338208,0.8411921582769395,False
FAM41C,-0.5521779135332944,0.575694630912744,0.4572966577444777,-0.018329396028179,0.6219748098250267,False
RP11-54O7.16,-0.32232829639943666,0.7244603135725173,0.20066018673048103,-0.058288186132738895,0.3649658725321336,False
RP11-54O7.1,-0.25438214374755397,0.7753954329057088,0.03259736240051372,-0.3024504390563749,0.10430315829958191,False
RP11-54O7.2,1.0548755469670286,2.871617750123278,0.32390102218241934,0.019157682416478833,0.4989894450621667,False
RP11-54O7.3,-0.09630354268395795,0.908188300310857,0.34505030920794544,-0.09042777748136377,0.5197471823042283,False
SAMD11,0.032767429009221055,1.033310193318202,0.7529423710018814,0.1109906166415855,0.8553881347942862,False
NOC2L,0.13664584693616966,1.1464220677295354,0.41121701025454516,0.08175798273068402,0.5813190496503157,False
KLHL17,-0.08948930823084396,0.9143980416048181,0.41096845379561464,-0.1076922339284172,0.5811600519001483,False
PLEKHN1,0.17112871502537721,1.1866434780376307,0.43469307300198734,0.04479217586951101,0.6028074455341422,False
RP11-54O7.17,-0.12797994983122676,0.8798710205302471,0.17958965097651247,-0.20881708022959788,0.3395122923987162,False
HES4,-0.02073828162927357,0.9794752777009157,0.7798803696868175,-0.0289378765150774,0.8739118275738403,False
ISG15,0.1746159620090517,1.1907888206429418,0.012135740229646535,0.6553334830725603,0.05022173831702058,False
RP11-54O7.11,-0.5784222639092375,0.5607824356559575,0.018894787099084008,-0.18257421494582904,0.06979780267844124,False
AGRN,0.12144359776805573,1.1291256789206932,0.27887000228306547,0.1756540292346216,0.4523742698185006,False
RP11-54O7.18,0.029587877540590626,1.030029947993389,0.953749743882245,-0.003491181359378981,0.9843438059276773,False
RNF223,0.8976632177742881,2.453862264491066,0.47398025072671746,0.008981430971621573,0.6366329141244745,False
C1orf159,0.011354492672990551,1.0114191995977828,0.9271914215388442,0.005393328781835294,0.9677729232679465,False
RP11-465B22.8,-0.985263175391765,0.3733409598531177,0.13149588870398707,-0.04894869951722716,0.2737598867959753,False
TTLL10-AS1,-1.3434793452976386,0.26093620017943603,0.19837133180235023,-0.0257052105548325,0.3622401300718776,False
TTLL10,-0.4633709589484868,0.6291591969791984,0.23989449170623112,-0.06367715172028224,0.4103280012516206,False
TNFRSF18,0.2065869831169531,1.2294746731053376,0.05204997942641678,0.2896570519534074,0.14555431130826038,False
TNFRSF4,0.03378198096862311,1.0343590721805866,0.757898762882216,0.06534308874648431,0.858762656862072,False
SDF4,0.4444412420876063,1.5596185031438052,0.0026734791288001635,0.38332111633710664,0.017176664809549876,True
B3GALT6,0.26680884897835,1.3057908192240204,0.035564220352982984,0.30530237037806973,0.11104175936681138,False
FAM132A,-0.09121681910485369,0.9128197726756427,0.49318429930819885,-0.06210491435636856,0.6532196171682277,False
RP5-902P8.12,-0.4065964002535243,0.6659128983495725,0.1751061795654658,-0.08462935920434278,0.33321393066372584,False
UBE2J2,0.2709334949578829,1.3111878668805734,0.03978587435390222,0.28282250534984943,0.1202657920512195,False
RP5-902P8.10,-0.7872795576369848,0.45508113482241347,0.00012514453693819906,-0.36201078884012117,0.003194686504477729,True
SCNN1D,-0.17209496026939597,0.8418992223955236,0.06758244461460869,-0.32659266268559417,0.1735188728769393,False
ACAP3,-0.10327750195579889,0.9018766662139809,0.30060660319237775,-0.15430434656659564,0.47446097831974193,False
PUSL1,0.10537815754020416,1.111130713375552,0.5185951954679062,0.06366055414725613,0.6742644299176215,False
CPSF3L,0.14127439580233125,1.1517406374259573,0.24527308927927327,0.1670314848318597,0.41585051599893175,False
TAS1R3,-0.5915410101894317,0.5534737185864315,0.00409827609654537,-0.2632175049691725,0.023073732482458052,True
DVL1,0.3091869015629761,1.362316965880736,0.04548191271692433,0.2321758117656687,0.132306360467066,False
MXRA8,0.21807632151431294,1.2436819836892656,0.05516014797205542,0.26667928294499443,0.1512702962701669,False
AURKAIP1,0.21973585221802897,1.2457476256509135,0.03187001500198014,0.38294903687550885,0.10254848455712745,False
CCNL2,-0.0688659836386132,0.933451769505679,0.39705859315454417,-0.19240001217119929,0.5677889998118544,False
MRPL20,0.3254972152296757,1.3847189782067229,0.00289691498301958,0.5613102116703645,0.0181337140407671,True
RP4-758J18.13,-0.09173010137554843,0.9123513586945686,0.5108388297139427,-0.08043146581110205,0.668142477071096,False
ANKRD65,0.307551149553013,1.3600903747375297,0.0007977203549170121,0.6410118103185138,0.008000294747595858,True
RP4-758J18.7,0.3962180375101024,1.4861933281196713,0.18653167617411848,0.06541980606508158,0.3479993628003277,False
