arm,heldout_patient,alpha,n_train_metacells,n_test_metacells,n_features,n_selected_any,n_fits
v3_tierA,20,0.05531877436255414,1291,118,2000,932,100
v3_tierA,23,0.2569874987868364,1403,6,2000,264,100
v3_tierA,26,0.26444732317093156,1399,10,2000,255,100
v3_tierA,27,0.03123568006271648,1283,126,2000,1318,100
v3_tierA,29,0.060002265353115466,1289,120,2000,917,100
v3_tierA,30,0.12314233640517615,1393,16,2000,512,100
v3_tierA,31,0.026784568157187248,1374,35,2000,1434,100
v3_tierA,32,0.13390672481119215,1319,90,2000,457,100
v3_tierA,33,0.059866963043117595,1328,81,2000,929,100
v3_tierA,36,0.26283071887388126,1404,5,2000,272,100
v3_tierA,5,0.263643358585761,1401,8,2000,266,100
v3_tierA,6,0.06105151154715937,1277,132,2000,915,100
v3_tierA,7,0.026196404598316573,1390,19,2000,1465,100
v3_tierA,9,0.05385760609930822,1203,206,2000,1020,100
v3_tierC,10,0.31900442486824776,1405,4,2000,166,100
v3_tierC,11,0.3490868347602555,1317,92,2000,163,100
v3_tierC,12,0.32507107203536545,1360,49,2000,164,100
v3_tierC,13,0.33066706686631003,1336,73,2000,176,100
v3_tierC,14,0.31829521303957053,1220,189,2000,165,100
v3_tierC,19,0.3276154273509399,1393,16,2000,157,100
v3_tierC,2,0.31862251374194017,1395,14,2000,168,100
v3_tierC,20,0.5157973144246333,1291,118,2000,52,100
v3_tierC,23,0.3223877484490876,1403,6,2000,161,100
v3_tierC,26,0.31888847000997306,1399,10,2000,166,100
v3_tierC,27,0.07345849899454573,1283,126,2000,740,100
v3_tierC,29,0.07242208788651772,1289,120,2000,730,100
v3_tierC,30,0.32139816036876323,1393,16,2000,176,100
v3_tierC,31,0.015410418881761477,1374,35,2000,1649,100
v3_tierC,32,0.07050926610685003,1319,90,2000,717,100
v3_tierC,33,0.03372668736729155,1328,81,2000,1209,100
v3_tierC,36,0.32260504528948425,1404,5,2000,158,100
v3_tierC,5,0.31973366192541947,1401,8,2000,168,100
v3_tierC,6,0.3382658711496424,1277,132,2000,176,100
v3_tierC,7,0.3198225083104012,1390,19,2000,152,100
v3_tierC,9,0.3313821039482961,1203,206,2000,135,100
