,selection_frequency
EXTL1,0.47523809523809524
RP11-290O12.2,0.4319047619047619
LINC01266,0.3504761904761905
P2RY14,0.2780952380952381
RP11-761N21.1,0.27285714285714285
RP11-72L22.1,0.2423809523809524
CHRNA1,0.24095238095238095
AC092684.1,0.2257142857142857
CTD-2541J13.2,0.2119047619047619
IGSF10,0.20666666666666667
CACNA2D3,0.2042857142857143
IQCA1,0.20333333333333334
AC005618.6,0.19476190476190477
NABP1,0.18857142857142858
CH17-80A12.1,0.16523809523809524
RP11-71N10.1,0.16380952380952382
RP11-197K3.1,0.1442857142857143
SGCZ,0.1361904761904762
GRIA1,0.13095238095238096
RORB,0.1295238095238095
LTF,0.11666666666666667
AC002454.1,0.1061904761904762
SAA2-SAA4,0.09904761904761905
HMCN2,0.09761904761904762
STXBP5L,0.0880952380952381
SEL1L3,0.08714285714285715
GFRA2,0.08523809523809524
CHSY3,0.08428571428571428
CTC-575N7.1,0.08095238095238096
KIRREL3,0.07952380952380952
WBSCR17,0.07952380952380952
HS6ST3,0.07571428571428572
TTR,0.07380952380952381
GULP1,0.07142857142857142
RP5-947P14.1,0.07095238095238095
HIF3A,0.07
RYR3,0.06904761904761905
CRYAB,0.06714285714285714
TTN,0.06714285714285714
COL14A1,0.06714285714285714
NPNT,0.06666666666666667
RERGL,0.06285714285714286
FSIP2,0.06142857142857143
RERG,0.060476190476190475
RP11-281J9.2,0.05857142857142857
FRMPD3,0.05714285714285714
FTH1,0.056666666666666664
MYO16,0.055714285714285716
MECOM,0.05523809523809524
ARHGAP24,0.05476190476190476
RP11-317N12.1,0.054285714285714284
MT-CO1,0.05380952380952381
CH17-125A10.2,0.05333333333333334
KLHL29,0.05047619047619047
RP11-152L20.3,0.05047619047619047
RD3,0.05
SLC8A1-AS1,0.04904761904761905
ABCA8,0.04904761904761905
DEPTOR,0.04857142857142857
PAX3,0.04857142857142857
CPNE8,0.048095238095238094
UNC5C,0.045714285714285714
TMEM132D,0.045714285714285714
RBMS3,0.04476190476190476
GRIN2B,0.04380952380952381
UTY,0.04285714285714286
PLCG2,0.039523809523809524
MACROD2,0.03571428571428571
GRIN2A,0.03333333333333333
RP11-325K19.1,0.03333333333333333
AC005550.3,0.03333333333333333
LRRIQ1,0.032857142857142856
FSTL4,0.032857142857142856
ALK,0.03238095238095238
TTLL10,0.03
CBLN4,0.03
RP11-63G10.3,0.029523809523809525
LIMK2,0.029047619047619048
ARHGAP29,0.029047619047619048
ATP10A,0.028095238095238097
LMNTD1,0.028095238095238097
LINC00535,0.02761904761904762
RP11-141M1.3,0.02666666666666667
SGPP2,0.02619047619047619
LINC01088,0.02619047619047619
MAPT-AS1,0.025714285714285714
TENM3,0.025714285714285714
RP11-515E23.1,0.024285714285714285
CREBZF,0.023809523809523808
LPAR6,0.023809523809523808
KSR2,0.023333333333333334
GPR55,0.023333333333333334
RP11-649A16.1,0.023333333333333334
SLC6A11,0.022857142857142857
MYH9,0.022857142857142857
CLMP,0.02238095238095238
ATP10B,0.02238095238095238
ARHGEF4,0.02238095238095238
JUNB,0.021904761904761906
B2M,0.021904761904761906
MSRB3,0.02142857142857143
ST8SIA4,0.02142857142857143
TMEM132E,0.02095238095238095
EFNA5,0.02095238095238095
CDKN1C,0.020476190476190478
MAPK4,0.020476190476190478
PTGFR,0.019523809523809523
FAM155A,0.019523809523809523
RP11-1094M14.10,0.01904761904761905
ALDH1L1,0.01904761904761905
RTN1,0.01904761904761905
PRDM16,0.018571428571428572
TMCC3,0.018571428571428572
ZNF208,0.018571428571428572
LRAT,0.018095238095238095
KBTBD12,0.018095238095238095
RP11-148L24.1,0.018095238095238095
FGFR3,0.018095238095238095
KCNIP4,0.017619047619047618
ZFPM2,0.017619047619047618
FBXO42,0.017142857142857144
CDH20,0.017142857142857144
CDCA3,0.016666666666666666
FABP5,0.016666666666666666
FLG-AS1,0.016666666666666666
IL10,0.01619047619047619
TMEM229B,0.01619047619047619
PHLDB2,0.01619047619047619
CA2,0.015714285714285715
SLC41A1,0.015714285714285715
SEMA3G,0.015714285714285715
CDH19,0.015238095238095238
NFATC2,0.015238095238095238
CYP7B1,0.015238095238095238
CACNA2D4,0.015238095238095238
RP11-238I10.1,0.014761904761904763
APOE,0.014761904761904763
RGL1,0.014761904761904763
COL4A2,0.014761904761904763
MLIP,0.014761904761904763
RAB8B,0.014761904761904763
HECW2,0.014761904761904763
SEPT14,0.014285714285714285
CNTN5,0.014285714285714285
FOS,0.014285714285714285
HBA2,0.01380952380952381
CSMD3,0.01380952380952381
NLGN4Y,0.01380952380952381
MARCH1,0.013333333333333334
LINC01324,0.013333333333333334
MYO1F,0.013333333333333334
MT-ND4,0.013333333333333334
OTX2-AS1,0.013333333333333334
GLP2R,0.012857142857142857
BCAS1,0.012380952380952381
RP13-578N3.3,0.012380952380952381
BRINP1,0.012380952380952381
XAF1,0.012380952380952381
GRM7,0.012380952380952381
MIR4300HG,0.012380952380952381
ANO5,0.012380952380952381
NFASC,0.012380952380952381
RP11-231C18.3,0.012380952380952381
HPCAL1,0.012380952380952381
STAC2,0.011904761904761904
COL4A1,0.011904761904761904
DNAH5,0.011904761904761904
AC105402.4,0.011904761904761904
RPL8,0.011904761904761904
UBB,0.011428571428571429
NKD2,0.011428571428571429
ADAMTS18,0.011428571428571429
MT-CO2,0.011428571428571429
COL24A1,0.011428571428571429
TGM2,0.010952380952380953
VWCE,0.010476190476190476
SGCD,0.010476190476190476
CMTM8,0.010476190476190476
RP11-170M17.1,0.010476190476190476
GALNT13,0.010476190476190476
