,selection_frequency
NALCN-AS1,0.1180952380952381
GPC5,0.11761904761904762
PTGFR,0.11761904761904762
CLPX,0.11761904761904762
CTD-3193K9.4,0.11714285714285715
SMIM3,0.11666666666666667
PSD2,0.11666666666666667
RP11-400N13.1,0.11619047619047619
EFEMP1,0.11523809523809524
PCBP3,0.11428571428571428
SHANK3,0.11333333333333333
TMEM243,0.11238095238095239
CACNA1B,0.11142857142857143
FXYD7,0.11095238095238096
AC009505.2,0.11047619047619048
SAMHD1,0.11047619047619048
FSIP2,0.11
MDGA2,0.10952380952380952
FXYD5,0.10952380952380952
FLVCR2,0.10857142857142857
ADAMTSL1,0.10809523809523809
LOX,0.10809523809523809
CTC-458G6.2,0.10761904761904761
ANXA1,0.10761904761904761
FOSB,0.10714285714285714
MAFB,0.10666666666666667
GABRB1,0.10666666666666667
ATP1A3,0.1061904761904762
AC079896.1,0.10571428571428572
CKMT2,0.10523809523809524
WDR49,0.10476190476190476
RP11-20G13.5,0.10428571428571429
DDX1,0.10428571428571429
AHNAK,0.10380952380952381
CTC-425F1.4,0.10380952380952381
MYH9,0.10380952380952381
ARAP1,0.10333333333333333
ADGRG6,0.10285714285714286
SNRPD3,0.10285714285714286
FAM189A2,0.10142857142857142
CH17-125A10.2,0.10142857142857142
THSD7B,0.10095238095238095
RERG,0.10047619047619048
SEMA3E,0.10047619047619048
ENTPD2,0.10047619047619048
SPDYA,0.09952380952380953
C1orf115,0.09904761904761905
TUBB4B,0.09857142857142857
RAB26,0.09761904761904762
REPS2,0.09714285714285714
CCSER1,0.09714285714285714
EGR1,0.09714285714285714
RP11-191L9.4,0.09714285714285714
CAPN5,0.09619047619047619
MT-ND5,0.09571428571428571
COL20A1,0.09571428571428571
AC002429.5,0.09523809523809523
RACGAP1,0.09428571428571429
DUSP5,0.09428571428571429
NFKBIA,0.09380952380952381
KIF2C,0.09380952380952381
STX17,0.09380952380952381
COTL1,0.09333333333333334
CNTN5,0.09333333333333334
ADAM19,0.09285714285714286
DEPTOR,0.0919047619047619
OLIG1,0.09095238095238095
NR4A1,0.09095238095238095
CTD-2034I4.1,0.09095238095238095
SPC25,0.09095238095238095
SNAP25,0.09095238095238095
RORB,0.09047619047619047
SYN3,0.09047619047619047
UBE2L6,0.09047619047619047
PCSK6,0.09
AKNAD1,0.09
RP5-1070A16.1,0.09
USP12-AS2,0.09
LMO2,0.08952380952380952
RGS7BP,0.08952380952380952
MT-ATP6,0.08952380952380952
RYR3,0.08952380952380952
GABRB2,0.08857142857142856
PRKCB,0.08761904761904762
DRAXIN,0.08761904761904762
NANS,0.08666666666666667
BRINP1,0.08619047619047619
BTBD11,0.08619047619047619
SDC2,0.08619047619047619
LINC00639,0.08571428571428572
DLX6-AS1,0.08571428571428572
UXS1,0.08571428571428572
IFFO1,0.08571428571428572
ABI3BP,0.08523809523809524
CDCA3,0.08523809523809524
HPDL,0.08476190476190476
NCAPH,0.08476190476190476
CNTN2,0.08476190476190476
XPNPEP2,0.08428571428571428
MBP,0.08428571428571428
CNTNAP2,0.0838095238095238
STMN4,0.0838095238095238
PLEKHA5,0.08333333333333333
SGK1,0.08333333333333333
PARPBP,0.08285714285714285
SCN7A,0.08285714285714285
AC002454.1,0.08285714285714285
NUF2,0.08238095238095237
CDH7,0.08190476190476191
APOE,0.08190476190476191
RAD51AP1,0.08190476190476191
LINC01266,0.08142857142857143
SCN9A,0.08095238095238096
HMCN2,0.08095238095238096
CHCHD2,0.08095238095238096
JPH1,0.08095238095238096
RP11-160E2.6,0.08095238095238096
LMCD1,0.08047619047619048
SH3GL2,0.08047619047619048
GUCY1A2,0.08047619047619048
DNAH5,0.08
FBN2,0.08
SLC22A3,0.07952380952380952
ACTR1A,0.07904761904761905
EYA1,0.07904761904761905
CD82,0.07904761904761905
SVOP,0.07857142857142857
RP11-1094M14.10,0.07857142857142857
PBK,0.07857142857142857
TUBGCP6,0.07809523809523809
SMOC1,0.07809523809523809
SPNS2,0.07714285714285714
C6orf141,0.07714285714285714
EMILIN2,0.07714285714285714
RP11-89K11.1,0.07714285714285714
RP11-507B12.2,0.07714285714285714
EMB,0.07666666666666666
MMP13,0.0761904761904762
GSTP1,0.0761904761904762
KCNK9,0.07571428571428572
TINAGL1,0.07571428571428572
ST6GALNAC3,0.07523809523809524
CTD-2060L22.1,0.07523809523809524
ALK,0.07428571428571429
HS3ST1,0.07428571428571429
TMCC3,0.07428571428571429
ANKS1B,0.07380952380952381
IER2,0.07380952380952381
KCNQ3,0.07380952380952381
CACNG2,0.07333333333333333
CTDP1,0.07333333333333333
ST6GAL1,0.07333333333333333
AC013463.2,0.07333333333333333
MMP28,0.07333333333333333
TMEM132E,0.07285714285714286
FGFR3,0.07238095238095238
PNRC1,0.0719047619047619
DLGAP1,0.0719047619047619
ERO1A,0.07142857142857142
EEPD1,0.07095238095238095
CPED1,0.07095238095238095
NOXRED1,0.07095238095238095
CEBPG,0.07095238095238095
GLI1,0.07047619047619047
ALPK2,0.07047619047619047
PFKFB4,0.07047619047619047
ZNF665,0.07
RIT2,0.07
ADCY8,0.06952380952380953
LINC01021,0.06904761904761905
RP4-655C5.9,0.06857142857142857
KCNB1,0.06857142857142857
MED8,0.0680952380952381
NEK10,0.0680952380952381
LPAR6,0.06761904761904762
RP11-384F7.1,0.06761904761904762
SPOCK1,0.06761904761904762
PKIA,0.06761904761904762
AC097713.3,0.06714285714285714
HDAC1,0.06666666666666667
LRRC2,0.06666666666666667
CYR61,0.06619047619047619
PDGFD,0.06619047619047619
RIMBP2,0.06571428571428571
MEDAG,0.06571428571428571
KIRREL3,0.06523809523809523
RPS27,0.06476190476190476
RP11-706D8.3,0.06476190476190476
RP11-356I2.4,0.06428571428571428
AURKA,0.06428571428571428
C2orf48,0.06380952380952382
MYLK,0.06333333333333334
COL9A3,0.06333333333333334
RHBDF2,0.06333333333333334
RP11-608O21.1,0.06333333333333334
UNC5C,0.06333333333333334
CPM,0.06285714285714286
FLJ33581,0.062380952380952384
MFSD2A,0.062380952380952384
MYC,0.06190476190476191
CPA4,0.06142857142857143
ACAN,0.06095238095238095
RPL13A,0.06095238095238095
LINC01314,0.06095238095238095
RP11-129M6.1,0.06095238095238095
DNAH11,0.06095238095238095
NEIL3,0.060476190476190475
MYL9,0.060476190476190475
HIF3A,0.06
IGFBP3,0.06
AFAP1L1,0.06
HRASLS,0.05952380952380952
STAC2,0.05904761904761905
RP5-1198O20.4,0.05904761904761905
SLCO3A1,0.058095238095238096
POU2F3,0.05761904761904762
CHI3L2,0.05714285714285714
ICAM1,0.05714285714285714
ARFGAP1,0.05714285714285714
MT-ATP8,0.05714285714285714
GPR158,0.05714285714285714
C5orf46,0.05714285714285714
GADD45G,0.056666666666666664
MIR217HG,0.056666666666666664
ATRNL1,0.056666666666666664
ARHGAP18,0.056666666666666664
EPB41L4A-AS2,0.056666666666666664
COX7A1,0.05619047619047619
RP11-15K19.2,0.05619047619047619
RASSF3,0.05619047619047619
COL28A1,0.05619047619047619
PTPRM,0.05619047619047619
LINC01060,0.05523809523809524
HEYL,0.05523809523809524
SLC28A1,0.05523809523809524
MIPOL1,0.05523809523809524
ZNF395,0.05523809523809524
PYCR1,0.05523809523809524
CFAP47,0.05476190476190476
SLC26A3,0.054285714285714284
LINC00337,0.054285714285714284
MYBL1,0.05380952380952381
LMNTD1,0.05380952380952381
FAM196A,0.05333333333333334
RUNX2,0.05333333333333334
PTGDS,0.05333333333333334
LMOD1,0.05333333333333334
NKD1,0.05285714285714286
PLEKHA3,0.05285714285714286
CDKN1C,0.05285714285714286
HS3ST5,0.05285714285714286
RP11-420N3.2,0.05285714285714286
CFH,0.05238095238095238
MYO1F,0.05238095238095238
CTC-458I2.2,0.05238095238095238
TMEM165,0.05238095238095238
HECW2,0.05238095238095238
KLHL29,0.05238095238095238
RP11-157I4.4,0.051904761904761905
CTD-2561B21.7,0.051904761904761905
PLXND1,0.051904761904761905
PLAT,0.051904761904761905
EFCAB3,0.051904761904761905
MGP,0.05142857142857143
EPB41,0.05142857142857143
LGR6,0.05142857142857143
HEXA,0.05095238095238095
RP11-395D3.1,0.05095238095238095
CLCF1,0.05047619047619047
TRABD2B,0.05047619047619047
SEMA3G,0.05
RP11-714L20.1,0.05
C4orf32,0.05
AP000462.2,0.049523809523809526
FAM19A1,0.049523809523809526
KCNIP4,0.04904761904761905
TNFAIP2,0.04904761904761905
NEURL1B,0.04904761904761905
HIST1H2BD,0.04857142857142857
DLGAP5,0.04857142857142857
LINGO1,0.04857142857142857
NPTX2,0.048095238095238094
ABCA8,0.047619047619047616
ANLN,0.047619047619047616
RP11-133F8.2,0.047619047619047616
RDH10,0.047142857142857146
CABLES1,0.047142857142857146
DAAM2,0.047142857142857146
LINC00499,0.04666666666666667
VWA3A,0.04666666666666667
ZNF273,0.04666666666666667
CELF4,0.04666666666666667
PVRL3-AS1,0.04619047619047619
EBF2,0.04619047619047619
LTBP1,0.04619047619047619
HAS2,0.045714285714285714
CDKN3,0.04523809523809524
DTHD1,0.04523809523809524
MTRNR2L8,0.04523809523809524
CXCL1,0.04523809523809524
BMS1P14,0.04476190476190476
TFCP2L1,0.04476190476190476
CCDC64,0.04476190476190476
RP9,0.04428571428571428
KRT10,0.04428571428571428
ARHGEF17,0.04428571428571428
TMEM159,0.04380952380952381
SOX10,0.04380952380952381
PCAT1,0.04380952380952381
FLT3,0.04380952380952381
HS3ST2,0.04380952380952381
AHR,0.04380952380952381
NELL1,0.04380952380952381
CCDC141,0.04380952380952381
CACNG5,0.04380952380952381
TBC1D10A,0.043333333333333335
NETO1,0.043333333333333335
MYCNOS,0.043333333333333335
HMP19,0.04285714285714286
CDH20,0.04285714285714286
SMAD3,0.04285714285714286
RP11-761N21.1,0.04238095238095238
UBASH3B,0.04238095238095238
STC1,0.04238095238095238
RP4-533D7.5,0.04238095238095238
MASP1,0.04238095238095238
C11orf21,0.04238095238095238
PLXDC2,0.0419047619047619
PARVB,0.0419047619047619
TMEM132D,0.0419047619047619
CCDC62,0.0419047619047619
TENM2,0.0419047619047619
ZNF189,0.0419047619047619
CEBPB,0.0419047619047619
FILIP1,0.041428571428571426
PDPN,0.041428571428571426
CADPS2,0.041428571428571426
C1orf95,0.041428571428571426
EGLN3,0.040952380952380955
ROR2,0.040952380952380955
ARL6IP1,0.040952380952380955
RNF122,0.040952380952380955
TNS3,0.040952380952380955
CA2,0.040952380952380955
ZNF16,0.040952380952380955
LPIN1,0.040952380952380955
CHSY3,0.04047619047619048
SIM1,0.04
LTF,0.04
WDR62,0.04
HIST1H2BN,0.04
CACNA2D1,0.04
SYNPO2,0.04
RP11-649G15.2,0.04
CD55,0.039523809523809524
RUNDC3B,0.039523809523809524
NNAT,0.039523809523809524
SV2B,0.039047619047619046
RAP1GAP2,0.039047619047619046
CD74,0.039047619047619046
RP11-418I22.3,0.03857142857142857
RANBP17,0.03857142857142857
DCN,0.03857142857142857
AC003991.3,0.03857142857142857
NXT1,0.0380952380952381
RRP36,0.0380952380952381
DACH2,0.03761904761904762
LINC00152,0.03761904761904762
DHRS2,0.03761904761904762
KIAA1524,0.03761904761904762
MT-ND6,0.03761904761904762
AC008103.3,0.03761904761904762
PIK3CD,0.037142857142857144
CX3CL1,0.037142857142857144
RP11-59N23.1,0.03666666666666667
PRICKLE1,0.03666666666666667
ASB18,0.03666666666666667
RIN2,0.03666666666666667
TRIM22,0.03619047619047619
C5orf17,0.03619047619047619
SPATA17,0.03619047619047619
AC079305.11,0.03619047619047619
MIR646HG,0.03619047619047619
MCTP2,0.03571428571428571
TRIM47,0.03571428571428571
BCL11B,0.03571428571428571
GFPT2,0.035238095238095235
RP1-167A14.2,0.035238095238095235
GBP5,0.035238095238095235
STARD3,0.035238095238095235
FOSL1,0.035238095238095235
PSME1,0.034761904761904765
NPTX1,0.034761904761904765
TRPC4,0.034761904761904765
AGTRAP,0.034761904761904765
ADM,0.03428571428571429
CAMK2A,0.03428571428571429
AC007319.1,0.03428571428571429
TTK,0.03428571428571429
PLCB4,0.03428571428571429
PLOD2,0.03428571428571429
ATP2B4,0.03428571428571429
RPS15,0.03428571428571429
XYLT1,0.03428571428571429
DHDH,0.03380952380952381
SORCS1,0.03380952380952381
GNL3L,0.03380952380952381
MMD2,0.03380952380952381
RP11-841O20.2,0.03380952380952381
SLC39A12,0.03380952380952381
RAMP3,0.03380952380952381
CASC21,0.03333333333333333
CCNF,0.03333333333333333
RP11-290H9.2,0.03333333333333333
ENG,0.03333333333333333
LUCAT1,0.03333333333333333
VEPH1,0.03333333333333333
GPN2,0.03333333333333333
VAT1L,0.03333333333333333
RP3-431P23.5,0.03333333333333333
FAM105A,0.032857142857142856
GBE1,0.03238095238095238
LAMP3,0.03238095238095238
MIR222HG,0.03238095238095238
RP11-281J9.2,0.03238095238095238
PPEF1,0.03238095238095238
SLC7A11,0.03238095238095238
TWIST2,0.03190476190476191
PAFAH1B3,0.03190476190476191
TIMP3,0.03190476190476191
RRAD,0.03190476190476191
ANGPT1,0.03190476190476191
RAB8B,0.03190476190476191
SPHKAP,0.03142857142857143
SLC7A5,0.03142857142857143
