,selection_frequency
IGFL4,0.3976190476190476
SLC24A4,0.3271428571428571
CUX2,0.30523809523809525
CBLN4,0.2652380952380952
IL10,0.26
PRDM16,0.25761904761904764
CTD-2545M3.8,0.24142857142857144
CELF5,0.2119047619047619
NOG,0.1880952380952381
RP11-443F4.1,0.17523809523809525
SLC24A2,0.14095238095238094
GPRC5A,0.12761904761904763
PDE1A,0.12333333333333334
TGFA,0.11952380952380952
GRM5,0.11714285714285715
CLVS2,0.11619047619047619
CPLX1,0.11238095238095239
MIR219A2,0.11
EIF2D,0.1061904761904762
RIT2,0.10047619047619048
KCNT1,0.07857142857142857
RP11-1055B8.3,0.07714285714285714
MYT1,0.07476190476190477
CA10,0.07047619047619047
WNK2,0.06333333333333334
DCX,0.06142857142857143
RP11-400N13.3,0.05761904761904762
MDGA1,0.05714285714285714
RPH3A,0.05333333333333334
GPR17,0.04666666666666667
GEM,0.04523809523809524
SAA2-SAA4,0.04428571428571428
LINC00698,0.043333333333333335
DRAXIN,0.039523809523809524
PAK3,0.034761904761904765
GRB10,0.03
TTYH2,0.025238095238095237
SPC25,0.025238095238095237
HK2,0.024285714285714285
LEMD1,0.023333333333333334
CTD-2541J13.2,0.023333333333333334
DCC,0.022857142857142857
LINC01598,0.021904761904761906
COL28A1,0.021904761904761906
RAB26,0.021904761904761906
ATCAY,0.02142857142857143
CTC-458G6.2,0.019523809523809523
COL20A1,0.018571428571428572
DYRK3,0.018095238095238095
ERO1A,0.017142857142857144
PAX7,0.017142857142857144
GLRA3,0.017142857142857144
TFCP2L1,0.016666666666666666
ATP10B,0.01619047619047619
PCBP3,0.015714285714285715
MIR4300HG,0.015714285714285715
COL14A1,0.015714285714285715
GPC5,0.015714285714285715
PGK1,0.015238095238095238
NOS1,0.014285714285714285
ADARB2,0.014285714285714285
ADGRG6,0.014285714285714285
MAFB,0.013333333333333334
LRRC2,0.013333333333333334
CNTN1,0.012857142857142857
SLC8A3,0.012857142857142857
DAAM2,0.010952380952380953
SNX22,0.010476190476190476
FAM189A2,0.010476190476190476
TMEM132D,0.010476190476190476
ZNF385B,0.010476190476190476
MYO1E,0.01
MYO5B,0.01
CNTNAP5,0.009523809523809525
AC012593.1,0.009047619047619047
SGK1,0.009047619047619047
LMO1,0.009047619047619047
CXCL8,0.009047619047619047
GAD1,0.009047619047619047
OLIG1,0.008571428571428572
PTPRN2,0.008571428571428572
SEZ6L,0.008571428571428572
NDRG1,0.008571428571428572
PLOD2,0.008571428571428572
C1orf115,0.008571428571428572
TP63,0.008571428571428572
LANCL2,0.008571428571428572
GRIN2A,0.008095238095238095
NHLH1,0.008095238095238095
AC002429.5,0.008095238095238095
COL15A1,0.008095238095238095
EEPD1,0.008095238095238095
PTPRT,0.007619047619047619
EBF2,0.007619047619047619
ITGA5,0.007619047619047619
KCP,0.007619047619047619
ANO3,0.007619047619047619
ST8SIA5,0.007142857142857143
RP11-400N13.1,0.007142857142857143
FAM149A,0.006666666666666667
BTBD11,0.006190476190476191
ATP1A3,0.006190476190476191
AC092684.1,0.006190476190476191
SPNS2,0.006190476190476191
ATP8A1,0.006190476190476191
ANGPTL4,0.005714285714285714
SLC39A12,0.005714285714285714
CACNG5,0.005714285714285714
AQP1,0.005714285714285714
VEPH1,0.005714285714285714
KBTBD12,0.005714285714285714
AC007682.1,0.005714285714285714
FAM180A,0.005238095238095238
HRASLS,0.005238095238095238
SMOC1,0.005238095238095238
CD82,0.005238095238095238
LTBP1,0.005238095238095238
RP11-386I14.4,0.005238095238095238
IQGAP3,0.005238095238095238
SPON1,0.004761904761904762
FAM196A,0.004761904761904762
ZNF395,0.004761904761904762
ISLR,0.004761904761904762
CA12,0.004761904761904762
ZNF665,0.004761904761904762
KCNIP4,0.004761904761904762
KCNH1,0.004285714285714286
RP11-15K19.2,0.004285714285714286
ARHGAP6,0.004285714285714286
SPOCK1,0.004285714285714286
GBE1,0.004285714285714286
PRDM8,0.004285714285714286
RP3-431P23.5,0.004285714285714286
HIF1A-AS2,0.004285714285714286
CCND1,0.004285714285714286
BCL11B,0.0038095238095238095
OPCML,0.0038095238095238095
FLJ33581,0.0038095238095238095
LINC01324,0.0038095238095238095
SOX10,0.0038095238095238095
IGLC2,0.0033333333333333335
MOXD1,0.0033333333333333335
C7,0.0033333333333333335
ATRNL1,0.0033333333333333335
FGF12,0.002857142857142857
HILPDA,0.002857142857142857
CACNA2D3,0.002857142857142857
CAV1,0.002857142857142857
LIPG,0.002857142857142857
SEZ6L2,0.002857142857142857
DLL3,0.002857142857142857
SV2B,0.002857142857142857
PIEZO2,0.002857142857142857
TMEM165,0.002857142857142857
ST6GAL1,0.002857142857142857
SLC39A14,0.002857142857142857
AC097713.3,0.002857142857142857
NELL1,0.002857142857142857
RP11-445F12.1,0.002380952380952381
MMD2,0.002380952380952381
ZBTB46,0.002380952380952381
ADM,0.002380952380952381
RP11-3B12.2,0.002380952380952381
CTD-2561B21.7,0.002380952380952381
SERPINE1,0.002380952380952381
FERMT1,0.002380952380952381
LINC01094,0.002380952380952381
AKAP12,0.002380952380952381
DNAH5,0.002380952380952381
HS6ST3,0.002380952380952381
PRICKLE1,0.0019047619047619048
RAMP3,0.0019047619047619048
VWC2L,0.0019047619047619048
GLRA2,0.0019047619047619048
TMEM132E,0.0019047619047619048
NRP1,0.0019047619047619048
SLC2A3,0.0019047619047619048
NPSR1,0.0019047619047619048
DDX1,0.0019047619047619048
SLC6A6,0.0019047619047619048
MTRNR2L8,0.0019047619047619048
RYR3,0.0019047619047619048
FRMD4B,0.0019047619047619048
SPHKAP,0.0019047619047619048
DSCAML1,0.0019047619047619048
PLEKHG5,0.0019047619047619048
SLC44A3,0.0019047619047619048
CTC-458I2.2,0.0019047619047619048
VSTM2A,0.0019047619047619048
TNFRSF25,0.0019047619047619048
ST3GAL1,0.0019047619047619048
RP5-921G16.1,0.0014285714285714286
LHX1,0.0014285714285714286
BMP3,0.0014285714285714286
CH17-437K3.1,0.0014285714285714286
WARS,0.0014285714285714286
LMNTD1,0.0014285714285714286
RP11-47I22.2,0.0014285714285714286
PFKFB4,0.0014285714285714286
PLEKHG1,0.0014285714285714286
RP11-133F8.2,0.0014285714285714286
SDK2,0.0014285714285714286
ITPKB,0.0014285714285714286
C5orf46,0.0014285714285714286
IZUMO3,0.0009523809523809524
CCDC3,0.0009523809523809524
ARHGEF4,0.0009523809523809524
ALDH1L1,0.0009523809523809524
CP,0.0009523809523809524
XYLT1,0.0009523809523809524
AC105402.4,0.0009523809523809524
INHBA,0.0009523809523809524
RP11-627D16.1,0.0009523809523809524
TCAF2,0.0009523809523809524
NXPH1,0.0009523809523809524
RDH10-AS1,0.0009523809523809524
WDR62,0.0009523809523809524
RP11-260O18.1,0.0009523809523809524
ID3,0.0009523809523809524
EGLN3,0.0009523809523809524
PTPRB,0.0009523809523809524
SYNPO2,0.0009523809523809524
FGFR3,0.0009523809523809524
SLC2A1,0.0009523809523809524
