,selection_frequency
EXTL1,0.4719047619047619
LINC01266,0.3638095238095238
RP11-290O12.2,0.36047619047619045
P2RY14,0.31857142857142856
IGSF10,0.29
RERGL,0.25285714285714284
RP11-761N21.1,0.22428571428571428
SLC8A1-AS1,0.19380952380952382
AC092684.1,0.1761904761904762
RP11-72L22.1,0.16952380952380952
NABP1,0.15904761904761905
HMCN2,0.15095238095238095
CACNA2D3,0.15047619047619049
RP11-71N10.1,0.14666666666666667
SGCZ,0.13285714285714287
LTF,0.13047619047619047
GRIA1,0.12761904761904763
RORB,0.12476190476190477
STXBP5L,0.11666666666666667
IQCA1,0.11476190476190476
RP11-197K3.1,0.11428571428571428
SAA2-SAA4,0.10761904761904761
RP5-947P14.1,0.10476190476190476
CHSY3,0.10428571428571429
ZFY,0.09714285714285714
GPR55,0.09476190476190476
COL14A1,0.09380952380952381
TTR,0.08761904761904762
WBSCR17,0.08666666666666667
KIRREL3,0.08238095238095237
RP11-281J9.2,0.07857142857142857
ITGA10,0.07142857142857142
LPAR6,0.06857142857142857
UNC5C,0.06714285714285714
FSIP2,0.06666666666666667
CCDC80,0.06619047619047619
TMEM132D,0.06523809523809523
MECOM,0.06380952380952382
GFRA2,0.062380952380952384
RGL1,0.06142857142857143
FTH1,0.06095238095238095
GULP1,0.06
RBMS3,0.05857142857142857
AC105402.4,0.05857142857142857
AC005550.3,0.058095238095238096
RYR3,0.05714285714285714
GRB14,0.05714285714285714
HS6ST3,0.056666666666666664
ARHGAP24,0.05619047619047619
CTC-575N7.1,0.055714285714285716
NPNT,0.05523809523809524
LRRIQ1,0.05523809523809524
RP11-152L20.3,0.05476190476190476
MYO16,0.054285714285714284
CPNE8,0.054285714285714284
MT-CO1,0.054285714285714284
FRMPD3,0.05380952380952381
VWCE,0.05238095238095238
MLIP,0.047619047619047616
PLCG2,0.047619047619047616
GRIN2B,0.047142857142857146
GRIN2A,0.04619047619047619
CH17-80A12.1,0.04619047619047619
RP11-317N12.1,0.04523809523809524
SGPP2,0.043333333333333335
CLMP,0.04238095238095238
TTN,0.0419047619047619
MSRB3,0.041428571428571426
HIF3A,0.039523809523809524
CRYAB,0.03857142857142857
MACROD2,0.03857142857142857
FBXO42,0.037142857142857144
RERG,0.037142857142857144
DEPTOR,0.037142857142857144
ATP10A,0.037142857142857144
NGF,0.03666666666666667
KLHL29,0.03666666666666667
RP11-325K19.1,0.03666666666666667
ARHGAP29,0.03666666666666667
CDKN1C,0.03666666666666667
RP11-63G10.3,0.03619047619047619
LIMK2,0.03571428571428571
TENM3,0.03571428571428571
AC002454.1,0.034761904761904765
TTLL10,0.034761904761904765
RP11-141M1.3,0.032857142857142856
B2M,0.032857142857142856
CCDC60,0.03238095238095238
CH17-125A10.2,0.03238095238095238
RD3,0.03190476190476191
MYH9,0.03190476190476191
KSR2,0.03190476190476191
CBLN4,0.03190476190476191
RP11-65I12.1,0.03190476190476191
PAX3,0.03142857142857143
FAM105A,0.030952380952380953
RP11-238I10.1,0.030476190476190476
RAB8B,0.03
LINC01088,0.029523809523809525
FSTL4,0.029523809523809525
JUNB,0.029047619047619048
CA2,0.029047619047619048
STAC2,0.02857142857142857
LMNTD1,0.02761904761904762
ALK,0.02761904761904762
FAM155A,0.02666666666666667
ST8SIA4,0.02619047619047619
SEL1L3,0.025714285714285714
RP11-649A16.1,0.025238095238095237
TMEM229B,0.024761904761904763
ZNF208,0.024761904761904763
ABCA8,0.024761904761904763
ARHGEF4,0.023809523809523808
FGFR3,0.023809523809523808
RP11-418I22.2,0.023333333333333334
NRP2,0.023333333333333334
COL2A1,0.023333333333333334
KCNIP4,0.022857142857142857
ADAMTS18,0.02238095238095238
ATP10B,0.021904761904761906
UTY,0.021904761904761906
FAP,0.02142857142857143
LSM1,0.02142857142857143
GLP2R,0.02142857142857143
PTGFR,0.02095238095238095
LRAT,0.02095238095238095
CREBZF,0.020476190476190478
LPAR1,0.020476190476190478
RNF144B,0.02
MAPT-AS1,0.02
SEMA3G,0.019523809523809523
TMEM81,0.019523809523809523
SLC41A1,0.019523809523809523
OR2L13,0.019523809523809523
MIR137HG,0.01904761904761905
HECW2,0.01904761904761905
COL4A1,0.01904761904761905
CDH20,0.01904761904761905
EFNA5,0.018571428571428572
NFATC2,0.018571428571428572
RP11-170M17.1,0.018095238095238095
TTC29,0.018095238095238095
CDCA3,0.018095238095238095
CYP7B1,0.017619047619047618
CDH19,0.017619047619047618
BCAS1,0.017142857142857144
SLC16A10,0.017142857142857144
COL24A1,0.017142857142857144
LGALS9,0.017142857142857144
RAB8A,0.016666666666666666
CMTM8,0.016666666666666666
CACNA2D4,0.016666666666666666
SLC6A11,0.016666666666666666
DDX1,0.016666666666666666
HMMR-AS1,0.01619047619047619
TMEM132E,0.01619047619047619
PHLDB2,0.01619047619047619
LPIN1,0.01619047619047619
LINC00535,0.01619047619047619
RP11-1085N6.5,0.015714285714285715
MT-ND4,0.015714285714285715
MAPK4,0.015714285714285715
PRDM16,0.015714285714285715
ANO5,0.015714285714285715
IL10,0.015238095238095238
SNTB1,0.015238095238095238
PENK,0.015238095238095238
RP11-231C18.3,0.015238095238095238
CALCRL,0.015238095238095238
RP11-751H17.1,0.015238095238095238
ALDH1L1,0.014761904761904763
TIMP3,0.014761904761904763
REPS2,0.014761904761904763
SLC44A3,0.014285714285714285
SEC14L2,0.014285714285714285
HBA2,0.014285714285714285
APOE,0.01380952380952381
BRINP1,0.01380952380952381
SNCA,0.01380952380952381
GRM7,0.01380952380952381
FABP5,0.01380952380952381
CSMD3,0.01380952380952381
RP11-320P7.2,0.01380952380952381
XKR4,0.013333333333333334
NFASC,0.013333333333333334
RP11-148L24.1,0.013333333333333334
MARCH1,0.013333333333333334
MT-CO2,0.013333333333333334
MIR4300HG,0.012857142857142857
MYO1F,0.012857142857142857
GALNT13,0.012380952380952381
TPH1,0.012380952380952381
SEPT14,0.012380952380952381
RP11-685M7.5,0.012380952380952381
SGCD,0.012380952380952381
KBTBD12,0.012380952380952381
MOCS1,0.011904761904761904
COL4A2,0.011428571428571429
RP11-191L9.4,0.011428571428571429
CA8,0.011428571428571429
LDLR,0.010952380952380953
ZFPM2,0.010952380952380953
SPRY1,0.010952380952380953
RDH10,0.010952380952380953
COL21A1,0.010952380952380953
SCN7A,0.010952380952380953
KCNE4,0.010952380952380953
RASGEF1B,0.010476190476190476
RPS8,0.010476190476190476
FAM189A2,0.010476190476190476
AC003991.3,0.010476190476190476
PCAT4,0.010476190476190476
CTC-550B14.7,0.010476190476190476
ELOVL7,0.010476190476190476
TLL1,0.010476190476190476
FLG-AS1,0.010476190476190476
DSTYK,0.01
OTX2,0.01
MGP,0.01
IGFL4,0.01
