,selection_frequency
KCNH1,0.6628571428571428
SEZ6L2,0.5804761904761905
RP11-290O12.2,0.5495238095238095
TGFA,0.5214285714285715
EXTL1,0.49857142857142855
P2RY14,0.4880952380952381
NOG,0.4757142857142857
GRB10,0.4642857142857143
GRIN2A,0.45714285714285713
GS1-57L11.1,0.4514285714285714
RP11-1055B8.3,0.44857142857142857
RP11-761N21.1,0.4471428571428571
PPFIA2,0.4319047619047619
LANCL2,0.430952380952381
CH17-80A12.1,0.42952380952380953
GRM5,0.42142857142857143
LINC01598,0.4204761904761905
NOS1,0.4204761904761905
GFRA2,0.41714285714285715
COL14A1,0.41714285714285715
LPL,0.41333333333333333
EIF2D,0.4014285714285714
SLC24A4,0.40095238095238095
MDGA1,0.3914285714285714
DYRK3,0.38904761904761903
IRS1,0.38476190476190475
IL10,0.38142857142857145
AC005550.3,0.37047619047619046
LINC01324,0.36904761904761907
TFPI,0.3661904761904762
MIR219A2,0.3628571428571429
AC129778.2,0.3580952380952381
ITGB5,0.35428571428571426
GLRA3,0.35285714285714287
NABP1,0.3504761904761905
CACNA2D3,0.34809523809523807
PRDM16,0.34523809523809523
AQP1,0.3442857142857143
MSC-AS1,0.3414285714285714
RP11-148L24.1,0.33095238095238094
IGSF10,0.3242857142857143
CUX2,0.32142857142857145
APOLD1,0.32
SEMA3D,0.31952380952380954
NGF,0.310952380952381
LINC00624,0.3076190476190476
XKR4,0.2995238095238095
LINC00266-1,0.2980952380952381
LEMD1,0.29428571428571426
COL8A1,0.29333333333333333
FRMPD3,0.2923809523809524
HPSE2,0.2923809523809524
RP11-400N13.3,0.2895238095238095
GLDN,0.28476190476190477
AR,0.2819047619047619
FGF12,0.28
RP11-710C12.1,0.2795238095238095
LINC00698,0.2757142857142857
SAA2-SAA4,0.2733333333333333
SLC6A11,0.2704761904761905
CH17-125A10.2,0.27
CCDC3,0.27
MECOM,0.2661904761904762
CCDC80,0.26571428571428574
TCTEX1D1,0.2638095238095238
OS9,0.2633333333333333
CBLN4,0.26285714285714284
APOL2,0.2623809523809524
MYO5B,0.26095238095238094
RP5-947P14.1,0.2571428571428571
RANBP3L,0.2561904761904762
IQCA1,0.2542857142857143
CTD-2545M3.8,0.2538095238095238
SHC4,0.25285714285714284
LINC01094,0.25285714285714284
AC007682.1,0.2523809523809524
ATP10B,0.2509523809523809
AC092684.1,0.25047619047619046
GPRC5A,0.25047619047619046
IGFL4,0.24857142857142858
TP63,0.24714285714285714
HMCN2,0.23904761904761904
CDCA8,0.23809523809523808
MTCP1,0.23476190476190475
TPD52L1,0.2342857142857143
FAM19A2,0.23142857142857143
SH2D3C,0.23095238095238096
STC2,0.22952380952380952
RASL12,0.22904761904761906
ADGRB1,0.22714285714285715
DCC,0.22476190476190477
SLC24A2,0.2219047619047619
MIR4300HG,0.22095238095238096
NR4A3,0.22095238095238096
ALDH1L1,0.2195238095238095
EMP3,0.21857142857142858
EPHA6,0.21714285714285714
PTPRB,0.21666666666666667
MT-ND2,0.21666666666666667
AC005487.2,0.2138095238095238
ANXA8,0.21285714285714286
GPR17,0.21095238095238095
SULF1,0.21
NTN4,0.20904761904761904
TTYH2,0.2042857142857143
CELF5,0.20238095238095238
COL5A1,0.20238095238095238
LINC00836,0.2019047619047619
ST8SIA4,0.19666666666666666
INHBA,0.1957142857142857
CATSPERB,0.1957142857142857
RP11-386I14.4,0.1957142857142857
PAK3,0.19476190476190477
TMEM132E,0.19047619047619047
GEM,0.19047619047619047
FRMD4B,0.19047619047619047
KIF11,0.19
C1QTNF1,0.19
ARMC3,0.18761904761904763
FABP5,0.18666666666666668
GPR20,0.18666666666666668
CA10,0.18571428571428572
CASC9,0.18476190476190477
RERG,0.1838095238095238
CCND1,0.18333333333333332
PAX7,0.18333333333333332
AC105402.4,0.18285714285714286
GPR55,0.1823809523809524
KBTBD12,0.18095238095238095
CTC-535M15.2,0.18047619047619048
CLVS2,0.18
ATP8A1,0.17809523809523808
HIF1A-AS2,0.17666666666666667
MAFB,0.17666666666666667
SPOCK3,0.1761904761904762
