,selection_frequency
SEZ6L2,0.6680952380952381
KCNH1,0.5614285714285714
TGFA,0.5380952380952381
NOG,0.518095238095238
MDGA1,0.4880952380952381
LANCL2,0.48095238095238096
PRDM16,0.46190476190476193
GRB10,0.4604761904761905
AC129778.2,0.45714285714285713
EIF2D,0.4452380952380952
GRM5,0.4423809523809524
P2RY14,0.43238095238095237
GRIN2A,0.42952380952380953
AC005550.3,0.4276190476190476
DYRK3,0.4266666666666667
XKR4,0.4219047619047619
GS1-57L11.1,0.4204761904761905
COL14A1,0.4180952380952381
RP11-1055B8.3,0.4157142857142857
IL10,0.39476190476190476
LINC01598,0.39380952380952383
IGSF10,0.3933333333333333
SLC24A4,0.3919047619047619
LINC01324,0.3742857142857143
PPFIA2,0.36523809523809525
NOS1,0.3628571428571429
CCDC3,0.35285714285714287
AQP1,0.35095238095238096
ITGB5,0.3380952380952381
GLRA3,0.33380952380952383
AC007682.1,0.32761904761904764
EPB41L3,0.3180952380952381
RP11-148L24.1,0.3161904761904762
TFPI,0.3142857142857143
MIR219A2,0.30523809523809525
ALDH1L1,0.2980952380952381
RP11-400N13.3,0.2980952380952381
LPL,0.2976190476190476
GPR55,0.29619047619047617
RP11-290O12.2,0.29523809523809524
GPRC5A,0.2923809523809524
CUX2,0.2876190476190476
RP11-176N18.2,0.28714285714285714
ADGRB1,0.2866666666666667
SEMA3D,0.2857142857142857
SLC35F4,0.28
GFRA2,0.27095238095238094
LINC00266-1,0.26666666666666666
CTD-2545M3.8,0.2661904761904762
SLC6A11,0.2633333333333333
EMP3,0.2571428571428571
TPD52L1,0.2542857142857143
DCC,0.2519047619047619
LINC00624,0.25142857142857145
LINC00698,0.24714285714285714
MTRNR2L1,0.24714285714285714
ATP8A1,0.24619047619047618
MTCP1,0.24476190476190476
IGFL4,0.23761904761904762
FGF12,0.23761904761904762
RANBP3L,0.23666666666666666
CBLN4,0.23476190476190475
LEMD1,0.23476190476190475
ATP10B,0.2342857142857143
PDE1A,0.2342857142857143
EPHA6,0.23142857142857143
RASL12,0.23047619047619047
MECOM,0.22952380952380952
LPAR6,0.2276190476190476
SPRY1,0.22285714285714286
TP63,0.22095238095238096
NR4A3,0.22095238095238096
MYH9,0.22047619047619046
PMAIP1,0.21904761904761905
RAB26,0.21761904761904763
RP11-65I12.1,0.2138095238095238
SHC4,0.2123809523809524
RERG,0.2119047619047619
SAA2-SAA4,0.21142857142857144
RP11-116O11.1,0.21142857142857144
TCTEX1D1,0.21142857142857144
CNTN3,0.21
PDZRN4,0.20714285714285716
IQGAP3,0.20523809523809525
NALCN-AS1,0.20476190476190476
TTYH2,0.2042857142857143
FABP5,0.2042857142857143
OLIG1,0.2038095238095238
CCDC80,0.20333333333333334
CA10,0.20285714285714285
GLRA2,0.2019047619047619
MT1M,0.19952380952380952
CNTN1,0.1980952380952381
AC105402.4,0.1976190476190476
IQCA1,0.1976190476190476
STC2,0.19428571428571428
KIF11,0.19380952380952382
DOCK6,0.19333333333333333
MSC-AS1,0.19285714285714287
CLVS2,0.19238095238095237
MIR4300HG,0.19238095238095237
GLDN,0.18857142857142858
NGF,0.18761904761904763
RP11-260O18.1,0.18619047619047618
ETNPPL,0.18619047619047618
CRISPLD1,0.18619047619047618
COL16A1,0.18571428571428572
GPR17,0.18476190476190477
ARMC3,0.18428571428571427
ITGA5,0.1838095238095238
HK2,0.1823809523809524
SAA1,0.18095238095238095
MYO5B,0.18047619047619048
HS3ST1,0.17904761904761904
CACNA2D3,0.17904761904761904
REPS2,0.17904761904761904
HGF,0.17857142857142858
HIF1A-AS2,0.17857142857142858
SLC24A2,0.17809523809523808
COL8A1,0.17761904761904762
MT-ND2,0.17714285714285713
AC079896.1,0.17666666666666667
AHNAK,0.17476190476190476
NFASC,0.17285714285714285
FAM19A2,0.17047619047619048
CRYAB,0.17047619047619048
ID3,0.17
PTPRB,0.16952380952380952
RP11-320P7.2,0.16857142857142857
COL5A1,0.16857142857142857
LINC01094,0.16714285714285715
MGP,0.16714285714285715
RP4-655C5.9,0.1657142857142857
RERGL,0.16476190476190475
CELF5,0.16428571428571428
ZNF385B,0.16285714285714287
EFEMP1,0.16142857142857142
VSTM2A,0.1580952380952381
SNX22,0.1580952380952381
WNK2,0.1580952380952381
SLC8A1-AS1,0.15761904761904763
APOL2,0.15666666666666668
SULF1,0.15619047619047619
OS9,0.15571428571428572
RP11-68E19.2,0.1538095238095238
RPH3A,0.15285714285714286
NID2,0.15142857142857144
KIF2C,0.15142857142857144
APOLD1,0.14714285714285713
CH17-80A12.1,0.14714285714285713
GPR20,0.1461904761904762
FRMD4B,0.1461904761904762
EXTL1,0.1457142857142857
TTN,0.1442857142857143
ANO3,0.14333333333333334
METTL7B,0.14142857142857143
KHDRBS2,0.14095238095238094
