,selection_frequency
LINC01266,0.5519047619047619
P2RY14,0.48238095238095235
RP11-71N10.1,0.4461904761904762
SLC8A1-AS1,0.4147619047619048
RP11-197K3.1,0.3619047619047619
IGSF10,0.3404761904761905
RP11-72L22.1,0.3323809523809524
GRB14,0.3180952380952381
EXTL1,0.30857142857142855
STXBP5L,0.3080952380952381
CHSY3,0.3057142857142857
SGCZ,0.30095238095238097
GRIA1,0.2719047619047619
RORB,0.2633333333333333
RP5-947P14.1,0.2438095238095238
ZFY,0.23809523809523808
LPAR6,0.23285714285714285
GULP1,0.23
WBSCR17,0.22428571428571428
TTR,0.20523809523809525
FSIP2,0.18666666666666668
RP11-290O12.2,0.18523809523809523
RP11-317N12.1,0.18428571428571427
TMEM132D,0.17761904761904762
CCDC80,0.17666666666666667
RERGL,0.17285714285714285
ITGA10,0.17238095238095238
MACROD2,0.17142857142857143
RP11-281J9.2,0.1661904761904762
RGL1,0.16428571428571428
RBMS3,0.16285714285714287
NPNT,0.15666666666666668
IQCA1,0.15047619047619049
RP11-152L20.3,0.14476190476190476
CACNA2D3,0.13857142857142857
AC005550.3,0.13285714285714287
RP11-325K19.1,0.13238095238095238
CDCA3,0.1319047619047619
FTH1,0.12523809523809523
ADAMTS18,0.12333333333333334
CBLN4,0.1219047619047619
UNC5C,0.12142857142857143
ALK,0.12095238095238095
LGALS9,0.11857142857142858
TENM3,0.1180952380952381
TTN,0.11761904761904762
RAB8B,0.11761904761904762
CH17-80A12.1,0.11619047619047619
KSR2,0.11523809523809524
AC092684.1,0.11285714285714285
RNF144B,0.11285714285714285
COL2A1,0.11095238095238096
GRIN2B,0.11095238095238096
CTC-575N7.1,0.11
CPNE8,0.10857142857142857
VWCE,0.10761904761904761
DTHD1,0.10761904761904761
MT-CO1,0.10523809523809524
MAPT-AS1,0.10476190476190476
RD3,0.10428571428571429
RP11-761N21.1,0.10428571428571429
CA2,0.10380952380952381
BAG6,0.10380952380952381
SLC41A1,0.10333333333333333
SGPP2,0.10285714285714286
PAX3,0.10047619047619048
GALNT18,0.1
CDKN1C,0.1
KIRREL3,0.09857142857142857
COL24A1,0.09380952380952381
LPIN1,0.09333333333333334
SEC14L2,0.09142857142857143
CRYAB,0.09047619047619047
CLMP,0.09047619047619047
FAM105A,0.08904761904761904
NOVA2,0.08857142857142856
RYR3,0.08761904761904762
KCNE4,0.08523809523809524
PLCG2,0.08428571428571428
RP11-685M7.5,0.08428571428571428
RP11-320P7.2,0.08333333333333333
PENK,0.08238095238095237
MOCS1,0.08238095238095237
FBXO42,0.08238095238095237
TEX41,0.08
RAB8A,0.08
GRIN2A,0.07952380952380952
HIF3A,0.07952380952380952
RP11-238I10.1,0.07904761904761905
HECW2,0.07904761904761905
HBA1,0.07857142857142857
PSMC3IP,0.07809523809523809
MYH9,0.07761904761904762
ATP10A,0.07714285714285714
MICAL2,0.07714285714285714
EGR1,0.07666666666666666
ANO5,0.07523809523809524
MIR137HG,0.07523809523809524
COL14A1,0.07428571428571429
ALOX5AP,0.07333333333333333
HPCAL1,0.07333333333333333
RP11-388G22.1,0.07285714285714286
TTLL10,0.07238095238095238
AC003991.3,0.07238095238095238
IL10,0.0719047619047619
PAX7,0.0719047619047619
CPT1A,0.07142857142857142
RNF219-AS1,0.07047619047619047
HS6ST3,0.06904761904761905
REPS2,0.06904761904761905
TPH1,0.06904761904761905
LA16c-313D11.9,0.06904761904761905
LEFTY2,0.06904761904761905
RP11-1085N6.5,0.0680952380952381
SEMA3G,0.06761904761904762
NFATC2,0.06666666666666667
LIMK2,0.06619047619047619
RP11-231C18.3,0.06571428571428571
ST8SIA4,0.06571428571428571
MT-ND6,0.06476190476190476
GPR20,0.06428571428571428
BCAS1,0.06428571428571428
PMAIP1,0.06380952380952382
SNTB1,0.06333333333333334
FILIP1,0.06190476190476191
PRDM1,0.06142857142857143
MTRNR2L1,0.06095238095238095
RP11-649A16.1,0.06095238095238095
CCDC60,0.060476190476190475
FSTL4,0.060476190476190475
TTTY14,0.060476190476190475
AC010127.3,0.06
TLL1,0.05952380952380952
LMNTD1,0.05904761904761905
ARHGAP44,0.05904761904761905
UTY,0.05904761904761905
MLIP,0.05857142857142857
TESK2,0.05857142857142857
AC007319.1,0.05857142857142857
CRISPLD1,0.05857142857142857
DDX1,0.058095238095238096
RP11-141M1.3,0.058095238095238096
ALDH6A1,0.058095238095238096
TMEM154,0.058095238095238096
CDK16,0.05761904761904762
COL9A1,0.05761904761904762
ZNF189,0.056666666666666664
